ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice
000101-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000101-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000102-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000102-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000103-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000103-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000201-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000201-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000202-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000202-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000203-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000203-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000301-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000301-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000302-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000302-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000303-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000303-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000401-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000401-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000402-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000402-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000403-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000403-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000501-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000501-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000502-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000502-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000503-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000503-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000601-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000601-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000602-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000602-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000603-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000603-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000701-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000701-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000702-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000702-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000703-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000703-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000801-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000801-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000802-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000802-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000803-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000803-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000901-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000901-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
000902-00-0006, C01,C02,C03,C04,C05,C06,C07,C08
000902-00-0038, C01,C02,C03,C04,C05,C06,C07,C08
